Области/Регионы;ГОРОДА;Население
Ульяновская область;Базарный Сызган;4333
Ростовская область;Красноармейский;4332
Калининградская область;Озерск (Калининградская область);4319
Республика Татарстан;Камское Устье;4309
Ростовская область;Малокирсановка;4309
Рязанская область;Бокино;4305
Курская область;Медвенка;4304
Республика Тыва;Кызыл-Мажалык;4304
Ростовская область;Потапов;4290
Краснодарский край;Передовая (Краснодарский край);4286
Ростовская область;Елкин;4284
Курская область;Золотухино;4280
Чеченская республика;Борзой (Чеченская республика);4271
Кировская область;Кумены;4266
Республика Калмыкия;Яшалта;4261
Калужская область;Мосальск;4259
Мурманская область;Кильдинстрой;4253
Мурманская область;Сафоново (Мурманская область);4249
Республика Адыгея;Хакуринохабль;4243
Республика Мордовия;Тургенево;4242
Республика Мордовия;Атемар;4237
Псковская область;Пушкинские Горы;4226
Волгоградская область;Береславка;4226
Алтайский край;Староалейское;4224
Брянская область;Бытошь;4217
Владимирская область;Головино;4214
Республика Карелия;Пиндуши;4214
Сахалинская область;Томари;4213
Ростовская область;Кугейский;4209
Кировская область;Тужа;4208
Тверская область;Красномайский;4207
Тюменская область;Новотарманский;4207
Республика Бурятия;Ильинка;4202
Краснодарский край;Соколовское (Краснодарский край);4202
Республика Мордовия;Теньгушево;4196
Республика Хакасия;Майна (Республика Хакасия);4195
Волгоградская область;Даниловка;4192
Рязанская область;Милославское;4190
Ростовская область;Позднеевка;4186
Московская область;Черкизово (Московская область, Пушкинский район);4186
Республика Саха (Якутия);Усть-Нера;4182
Владимирская область;Малышево;4180
Ульяновская область;Старая Кулатка;4178
Магаданская область;Сусуман;4175
Владимирская область;Паустово;4175
Республика Калмыкия;Комсомольский;4172
Оренбургская область;Курманаевка;4170
Алтайский край;Кытманово;4170
Алтайский край;Панкрушиха;4170
Алтайский край;Черемное;4168
Архангельская область;Урдома;4167
Владимирская область;Городищи;4164
Амурская область;Ерофей Павлович;4160
Магаданская область;Палатка (Магаданская область);4159
Приморский край;Горные Ключи;4159
Ростовская область;Лозной;4159
Воронежская область;Новоживотинное;4158
Краснодарский край;Губская;4154
Красноярский край;Октябрьский (Красноярский край);4153
Республика Бурятия;Новоильинск;4152
Нижегородская область;Мухтолово;4152
Республика Крым;Донское (Республика Крым);4151
Краснодарский край;Канеловская;4150
Тамбовская область;Умёт;4146
Челябинская область;Кропачево (Челябинская область);4144
Республика Дагестан;Новый Сулак;4136
Ростовская область;Богураев;4135
Омская область;Пушкино (Омская область);4132
Краснодарский край;Дядьковская;4126
Еврейская АО;Приамурский;4126
Новосибирская область;Дорогино;4117
Ростовская область;Елизаветовка;4113
Карачаево-Черкесская Республика;Сары-Тюз;4112
Костромская область;Чухлома;4111
Иркутская область;Улькан;4101
Костромская область;Судиславль;4100
Брянская область;Жирятино;4097
Новосибирская область;Станционно-Ояшинский;4096
Ханты-Мансийский АО - Югра;Пионерский (Ханты-Мансийский АО);4092
Краснодарский край;Андрюки;4085
Республика Крым;Пожарское;4083
Чукотский АО;Певек;4083
Мурманская область;Умба;4083
Новосибирская область;Чернореченский;4079
Саратовская область;Горный (Саратовская область);4077
Тверская область;Рамешки;4075
Белгородская область;Пятницкое;4073
Кемеровская область;Каз;4070
Ханты-Мансийский АО - Югра;Мортка;4069
Ростовская область;Гуляй-Борисовка;4069
Рязанская область;Ухолово (Рязанская область);4068
Амурская область;Новокиевский Увал;4067
Белгородская область;Бехтеевка;4060
Красноярский край;Саянский;4057
Алтайский край;Веселоярск;4054
Челябинская область;Вишневогорск;4052
Республика Тыва;Сарыг-Сеп;4051
Саратовская область;Воскресенское (Саратовская область);4046
Кировская область;Фалёнки;4043
Краснодарский край;Бойкопонура;4039
Кабардино-Балкарская республика;Герменчик (Кабардино-Балкарская Республика);4038
Волгоградская область;Куйбышев (Волгоградская область);4037
Республика Марий Эл;Суслонгер;4033
Мурманская область;Молочный;4031
Забайкальский край;Новая Чара;4025
Кемеровская область;Мундыбаш;4023
Республика Адыгея;Натырбово;4021
Вологодская область;Девятины;4020
Новосибирская область;Березиково;4019
Смоленская область;Гусино;4015
Республика Башкортостан;Тирлянский;4015
Республика Адыгея;Кужорская;4013
Тульская область;Дедилово;4000
Ростовская область;Юловский;3997
Челябинская область;Бердяуш;3988
Пензенская область;Вадинск;3985
Брянская область;Старь;3982
Калининградская область;Славск;3981
Республика Северная Осетия-Алания;Троицкое (Северная Осетия);3979
Кировская область;Кикнур;3978
Костромская область;Чистые Боры;3966
Вологодская область;Кадников;3965
Кировская область;Нагорск;3963
Забайкальский край;Дровяная;3958
Волгоградская область;Чернышковский;3958
Кабардино-Балкарская республика;Хатуей;3951
Челябинская область;Магнитка (Кусинский район);3946
Ленинградская область;Большая Пустомержа;3946
Республика Марий Эл;Виловатово;3945
Московская область;Уваровка (Московская область);3944
Республика Татарстан;Большое Афанасово;3937
Смоленская область;Духовщина;3936
Кабардино-Балкарская республика;Бабугент;3935
Нижегородская область;Шиморское;3933
Республика Дагестан;Куркент (Республика Дагестан);3933
Смоленская область;Стодолище;3927
Ульяновская область;Игнатовка;3922
Кировская область;Подосиновец;3910
Рязанская область;Тюшево (Рязанская область);3909
Камчатский край;Пионерский (Камчатский край);3908
Магаданская область;Сокол (Магаданская область);3899
Калининградская область;Правдинск (Калининградская область);3899
Саратовская область;Луганское;3899
Республика Башкортостан;Дуван;3891
Саратовская область;Заволжский;3881
Краснодарский край;Газырь;3881
Республика Марий Эл;Знаменский;3876
Республика Мордовия;Дубенки;3872
Воронежская область;Лосево;3871
Мурманская область;Зеленоборский;3870
Астраханская область;Килинчи;3868
Ленинградская область;Кузнечное;3866
Ростовская область;Михайлово-Александровка;3865
Тюменская область;Сладково;3864
Курская область;Ивановское (Курская область);3862
Астраханская область;Волжский (Астраханская область);3860
Владимирская область;Пекша;3854
Псковская область;Пустошка;3853
Республика Татарстан;Бетьки;3849
Краснодарский край;Константиновская (Краснодарский край);3848
Свердловская область;Мартюш;3847
Республика Мордовия;Кадошкино;3846
Республика Башкортостан;Алкино-2;3845
Орловская область;Хомутово;3842
Пензенская область;Кижеватово;3842
Республика Калмыкия;Ики-Бурул;3834
Республика Башкортостан;Павловка;3828
Республика Коми;Верхняя Максаковка;3823
Забайкальский край;Урульга;3821
Калужская область;Льва Толстого;3818
Смоленская область;Новодугино;3817
Республика Северная Осетия-Алания;Хумалаг;3816
Республика Тыва;Тоора-Хем;3811
Пензенская область;Сосновка (Пензенская область);3801
Республика Крым;Мазанка;3800
Забайкальский край;Бада;3799
Оренбургская область;Новоалександровка (Оренбургская область);3799
Московская область;Икша (Московская область);3796
Ярославская область;Брейтово;3795
Иркутская область;Балаганск;3794
Красноярский край;Миндерла;3792
Курская область;Большое Солдатское;3787
Ростовская область;Мальчевская;3786
Чукотский АО;Угольные Копи;3786
Ростовская область;Апаринский;3779
Кировская область;Санчурск;3778
Республика Дагестан;Тотурбайкала;3776
Ленинградская область;Алеховщина;3775
Саратовская область;Осиновский (Саратовская область);3771
Красноярский край;Кедровый (Красноярский край);3769
Орловская область;Покровское (Орловская область);3765
Ханты-Мансийский АО - Югра;Саранпауль;3759
Ленинградская область;Мшинская;3755
Кировская область;Верхошижемье;3754
Красноярский край;Казачинское;3751
Алтайский край;Баево;3749
Красноярский край;Новобирилюссы;3744
Ростовская область;Божковка;3743
Смоленская область;Угра;3743
Республика Башкортостан;Ташбулатово;3742
Республика Саха (Якутия);Батагай;3741
Саратовская область;Пинеровка;3741
Астраханская область;Тамбовка (Астраханская область);3740
Волгоградская область;Ильевка;3732
Алтайский край;Новичиха;3727
Волгоградская область;Качалино;3724
Республика Бурятия;Нижнеангарск;3724
Краснодарский край;Новосергиевская;3723
Нижегородская область;Виля;3722
Владимирская область;Вяткино;3721
Новосибирская область;Кочки;3721
Ростовская область;Буденновская;3715
Краснодарский край;Тенгинская;3709
Краснодарский край;Коржевский (Славянский район);3708
Республика Башкортостан;Аксаково;3708
Кировская область;Свеча;3707
Ивановская область;Ильинское-Хованское;3705
Ростовская область;Волошино;3701
Республика Марий Эл;Приволжский (Республика Марий Эл);3699
Архангельская область;Шипицыно;3694
Курская область;Хомутовка;3692
Костромская область;Сущёво;3682
Волгоградская область;Логовский;3681
Кировская область;Опарино;3681
Владимирская область;Першино;3676
Республика Адыгея;Тимирязева;3673
Тверская область;Кесова Гора;3671
Воронежская область;Дьяченково;3668
Омская область;Иртышский;3666
Кабардино-Балкарская республика;Плановское;3666
Амурская область;Февральск (Амурская область);3666
Ярославская область;Октябрьский (Ярославская область);3665
Ульяновская область;Тагай;3663
Челябинская область;Бродокалмак;3663
Калининградская область;Ладушкин;3655
Краснодарский край;Ирклиевская;3648
Республика Дагестан;Кабир (Республика Дагестан);3646
Кабардино-Балкарская республика;Екатериноградская;3646
Волгоградская область;Алексеевская;3645
Краснодарский край;Чебургольская;3644
Кабардино-Балкарская республика;Нижний Куркужин;3641
Краснодарский край;Новониколаевская (Краснодарский край);3641
Республика Тыва;Самагалтай;3640
Забайкальский край;Кыра;3637
Республика Хакасия;Боград;3634
Свердловская область;Дружинино;3631
Республика Мордовия;Леплей;3629
Республика Саха (Якутия);Беркакит;3628
Самарская область;Новый Буян;3627
Тульская область;Приупский;3624
Курская область;Тёткино;3624
Смоленская область;Остёр;3624
Иркутская область;Тыреть 1-я;3619
Краснодарский край;Копанская;3618
Самарская область;Черновский;3616
Ленинградская область;Лаголово;3608
Алтайский край;Табуны;3608
Тульская область;Новогуровский;3607
Ростовская область;Анастасиевка;3606
Московская область;Хорлово (Московская область);3605
Еврейская АО;Птичник (Еврейская АО);3604
Ростовская область;Манычская;3601
Республика Мордовия;Потьма;3600
Саратовская область;Тепловский (Саратовская область);3594
Ростовская область;Большекрепинская;3585
Республика Мордовия;Кочкурово (Республика Мордовия);3582
Алтайский край;Тогул;3582
Республика Карелия;Лоухи;3581
Саратовская область;Красный Октябрь (Саратовская область);3574
Челябинская область;Бобровка (Челябинская область);3574
Брянская область;Сеща;3571
Волгоградская область;Савинский (Волгоградская область);3570
Кемеровская область;Мир (Кемеровская область);3570
Красноярский край;Игарка;3559
Краснодарский край;Чамлыкская;3559
Новгородская область;Тесово-Нетыльский;3557
Республика Саха (Якутия);Пеледуй;3556
Курская область;Конышевка;3555
Ростовская область;Криворожье;3553
Омская область;Большегривское;3552
Самарская область;Новоспасский;3552
Рязанская область;Александро-Невский;3544
Приморский край;Чкаловское;3543
Краснодарский край;Лосево (Краснодарский край);3540
Псковская область;Бежаницы;3538
Пензенская область;Кондоль;3537
Алтайский край;Калманка;3536
Кировская область;Пижанка;3533
Ивановская область;Каменка (Ивановская область);3527
Московская область;Черусти (Московская область);3523
Чукотский АО;Эгвекинот;3516
Кемеровская область;Темиртау (Кемеровская область);3515
Воронежская область;Александровка Донская;3513
Республика Калмыкия;Кетченеры;3513
Оренбургская область;Палимовка;3512
Республика Тыва;Хову-Аксы;3507
Самарская область;Елховка (Самарская область);3507
Владимирская область;Мошок;3506
Калужская область;Ульяново (Калужская область);3504
Смоленская область;Красный;3501
Воронежская область;Коротояк;3500
Красноярский край;Подтесово;3499
Орловская область;Малоархангельск;3498
Оренбургская область;Экспериментальный (Оренбургская область);3498
Республика Марий Эл;Краснооктябрьский;3496
Нижегородская область;Вахтан;3496
Республика Татарстан;Октябрьский (Республика Татарстан);3490
Белгородская область;Ливенка;3489
Саратовская область;Октябрьский (Саратовская область, Аркадакский район);3489
Алтайский край;Верх-Катунское;3486
Астраханская область;Бахтемир;3479
Орловская область;Долгое;3478
Орловская область;Хотынец;3477
Пензенская область;Индерка;3473
Самарская область;Хрящёвка;3471
Камчатский край;Усть-Камчатск;3463
Ханты-Мансийский АО - Югра;Перегребное;3461
Новосибирская область;Верх-Ирмень;3460
Ростовская область;Кринично-Лугский;3453
Саратовская область;Кировское (Саратовская область);3449
Республика Тыва;Балгазын;3449
Краснодарский край;Первореченское;3447
Красноярский край;Большая Ирба;3443
Ростовская область;Зеленолугский;3443
Нижегородская область;Пижма;3440
Брянская область;Свень;3438
Курская область;Солнцево (Курская область);3437
Республика Крым;Азовское;3435
Забайкальский край;Жирекен;3431
Псковская область;Локня (Псковская область);3428
Тульская область;Волово (Тульская область);3426
Республика Тыва;Бай-Хаак;3426
Алтайский край;Зональное;3424
Ярославская область;Покровское (Ярославская область);3423
Омская область;Ачаирский;3418
Республика Адыгея;Келермесская;3416
Воронежская область;Абрамовка;3414
Астраханская область;Хошеутово;3412
Республика Карелия;Калевала;3404
Республика Адыгея;Козет;3398
Алтайский край;Шелаболиха;3398
Курская область;Касторное;3396
Тверская область;Сонково;3396
Астраханская область;Карагали;3396
Республика Крым;Скворцово (Республика Крым);3394
Нижегородская область;Лукино;3390
Иркутская область;Тангуй;3389
Челябинская область;Варламово;3389
Самарская область;Серноводск;3385
Краснодарский край;Мирской (Кавказский район);3382
Краснодарский край;Протичка;3381
Иркутская область;Новобирюсинский;3374
Ростовская область;Самбек;3368
Владимирская область;Ляхи;3367
Республика Тыва;Тээли;3367
Псковская область;Красногородск;3365
Республика Башкортостан;Нижнетроицкий;3365
Забайкальский край;Амитхаша (Забайкальский край);3364
Ленинградская область;Котельский;3363
Московская область;Малино (Московская область);3357
Республика Саха (Якутия);Витим;3356
Ростовская область;Алексеево-Лозовское;3355
Алтайский край;Курья;3355
Ростовская область;Андреево-Мелентьево;3354
Республика Коми;Айкино;3351
Саратовская область;Карепанов (Саратовская область);3350
Рязанская область;Ермишь;3348
Кировская область;Пасегово;3348
Астраханская область;Болхуны;3347
Ленинградская область;Ополье;3345
Республика Саха (Якутия);Чернышевский (Республика Саха (Якутия));3343
Краснодарский край;Черниговское;3340
Пермский край;Пашия;3339
Ленинградская область;Нурма (Ленинградская область);3338
Самарская область;Подбельск;3337
Хабаровский край;Ильинка (Хабаровский край);3335
Ханты-Мансийский АО - Югра;Талинка;3335
Республика Коми;Зеленец;3334
Алтайский край;Бурла;3334
Кировская область;Афанасьево (Кировская область);3332
Магаданская область;Омсукчан;3326
Ленинградская область;Дружная Горка (Ленинградская область);3325
Астраханская область;Яндыки;3325
Курганская область;Красный Октябрь (Курганская область);3324
Краснодарский край;Дмитриевская (Краснодарский край);3322
Калининградская область;Нестеров;3320
Смоленская область;Хиславичи;3320
Кировская область;Лесной (Кировская область);3319
Республика Адыгея;Дмитриевский;3319
Иркутская область;Култук;3318
Калужская область;Кудиново;3316
Ростовская область;Нижне-Кундрюченская;3309
Калининградская область;Краснознаменск (Калининградская область);3306
Амурская область;Бурея (Амурская область);3295
Курская область;Михайловка (Курская область);3293
Архангельская область;Обозерский;3293
Республика Бурятия;Выдрино;3282
Астраханская область;Байбек;3282
Красноярский край;Туруханск;3279
Кабардино-Балкарская республика;Верхний Акбаш;3277
Республика Тыва;Эрзин;3264
Ленинградская область;Пеники;3259
Алтайский край;Малоугренево;3253
Псковская область;Плюсса;3244
Кировская область;Мирный (Кировская область);3239
Республика Тыва;Суг-Аксы;3238
Республика Саха (Якутия);Сангар;3237
Республика Адыгея;Еленовское;3231
Карачаево-Черкесская Республика;Кавказский;3222
Ростовская область;Калинин;3217
Ивановская область;Колобово (Ивановская область);3217
Хабаровский край;Охотск;3212
Астраханская область;Растопуловка;3210
Республика Адыгея;Блечепсин;3210
Краснодарский край;Батуринская;3209
Московская область;Горки Ленинские (Московская область);3205
Саратовская область;Черкасское (Саратовская область);3203
Ленинградская область;Славянка;3203
Курская область;Черемисиново;3202
Владимирская область;Степанцево;3202
Республика Коми;Кожва;3201
Республика Саха (Якутия);Жиганск;3198
Республика Карелия;Чална;3196
Ростовская область;Старочеркасская;3194
Ивановская область;Китово;3192
Республика Башкортостан;Улу-Теляк;3191
Смоленская область;Андрейково;3190
Красноярский край;Филимоново;3189
Краснодарский край;Атаманская;3188
Тверская область;Пено;3188
Владимирская область;Бутылицы;3184
Алтайский край;Соколово;3182
Омская область;Новоуральский;3181
Рязанская область;Елатьма;3178
Самарская область;Осинки;3177
Воронежская область;Березовка (Воронежская область);3174
Нижегородская область;Варнавино;3172
Брянская область;Гордеевка;3171
Красноярский край;Партизанское;3169
Тюменская область;Мальково;3166
Ростовская область;Маргаритово;3166
Кабардино-Балкарская республика;Куба-Таба;3165
Волгоградская область;Эльтон;3159
Приморский край;Восток;3159
Нижегородская область;Горбатовка;3158
Московская область;Сычево (Московская область);3157
Пермский край;Ныроб;3156
Курская область;Свобода;3155
Республика Башкортостан;Миндяк;3151
Республика Марий Эл;Шелангер;3150
Псковская область;Новоржев;3148
Алтайский край;Налобиха;3147
Кировская область;Стрижи;3137
Оренбургская область;Светлый (Оренбургская область);3134
Республика Татарстан;Ленино-Кокушкино;3134
Белгородская область;Веселая Лопань;3133
Иркутская область;Квиток;3130
Курская область;Мантурово (Курская область);3130
Рязанская область;Подвязье (Рязанская область);3129
Иркутская область;Покосное;3127
Смоленская область;Монастырщина;3127
Красноярский край;Краснокаменск (Красноярский край);3121
Республика Саха (Якутия);Среднеколымск;3121
Челябинская область;Тюбук;3121
Костромская область;Антропово;3119
Кабардино-Балкарская республика;Жемтала;3115
Пермский край;Павловский;3109
Краснодарский край;Новопластуновская;3104
Республика Татарстан;Урняк;3103
Республика Крым;Крымское;3098
Ульяновская область;Рязаново;3092
Краснодарский край;Новоплатнировская;3091
Краснодарский край;Староджерелиевская;3090
Свердловская область;Пионерский (Свердловская область);3089
Хабаровский край;Лермонтовка;3089
Архангельская область;Приводино;3083
Республика Калмыкия;Артезиан;3083
Челябинская область;Петропавловский;3083
Новгородская область;Холм;3083
Волгоградская область;Ветютнев;3077
Республика Адыгея;Северо-Восточные Сады;3077
Самарская область;Приморский (Самарская область);3075
Камчатский край;Паратунка;3073
Кабардино-Балкарская республика;Нижний Черек;3073
Самарская область;Чубовка;3071
Воронежская область;Перелешино;3070
Смоленская область;Холм-Жирковский;3068
Кабардино-Балкарская республика;Верхний Куркужин;3064
Республика Башкортостан;Большой Куганак;3064
Амурская область;Талакан (Амурская область);3063
Ленинградская область;Лопухинка;3061
Ростовская область;Дубенцовская;3057
Республика Северная Осетия-Алания;Ольгинское (Северная Осетия);3056
Брянская область;Радица-Крыловка;3053
Самарская область;Спиридоновка;3053
Забайкальский край;Новоорловск;3053
Астраханская область;Мумра;3052
Пензенская область;Поим;3049
Республика Башкортостан;Карамалы-Губеево;3045
Воронежская область;Верхняя Тишанка;3043
Республика Карелия;Пряжа;3042
Приморский край;Ольга;3041
Новосибирская область;Майское (Новосибирская область);3040
Краснодарский край;Комсомольский (Краснодарский край);3040
Алтайский край;Малоенисейское;3037
Камчатский край;Коряки (Камчатский край);3034
Забайкальский край;Новопавловка;3033
Курская область;Заолешенка;3032
Республика Бурятия;Орлик;3028
Рязанская область;Искра (Рязанский район);3027
Ленинградская область;Лесогорский;3024
Саратовская область;Каменский;3017
Кабардино-Балкарская республика;Арик;3017
Рязанская область;Павелец;3017
Тверская область;Белый;3015
Республика Башкортостан;Калтыманово;3011
Волгоградская область;Приморск (Волгоградская область);3011
Омская область;Солнцевка;3005
Тюменская область;Тюнево (Тюменская область);3002
Республика Крым;Садовое (Республика Крым);2998
Волгоградская область;Панфилово (Волгоградская область);2996
Оренбургская область;Матвеевка;2995
Смоленская область;Шумячи;2995
Воронежская область;Нижний Кисляй;2992
Астраханская область;Тузуклей;2992
Брянская область;Рогнедино;2992
Ленинградская область;Рябово (Ленинградская область);2992
Республика Крым;Приозёрное;2989
Хабаровский край;Мухен;2988
Кабардино-Балкарская республика;Ново-Ивановское;2988
Республика Крым;Новосёловское;2988
Саратовская область;Идолга (Саратовская область);2984
Томская область;Могочино;2981
Краснодарский край;Новолабинская;2980
Ростовская область;Новониколаевский;2980
Оренбургская область;Караванный;2979
Свердловская область;Кленовское;2974
Рязанская область;Сапожок;2973
Костромская область;Кадый;2971
Калужская область;Барятино (Калужская область);2966
Республика Крым;Желябовка;2965
Владимирская область;Сергеиха;2962
Омская область;Соляное;2961
Ленинградская область;Шум;2959
Костромская область;Сусанино;2958
Республика Северная Осетия-Алания;Карджин;2957
Тверская область;Сандово;2955
Алтайский край;Крутиха;2954
Смоленская область;Ершичи;2953
Ивановская область;Пестяки;2952
Республика Хакасия;Вершиина Тёи;2950
Республика Татарстан;Ципья;2950
Алтайский край;Сибирский;2948
Республика Коми;Койгородок;2948
Республика Северная Осетия-Алания;Терская;2941
Красноярский край;Новочернореченский;2940
Курская область;Тим;2940
Владимирская область;Илькино;2938
Волгоградская область;Заволжский (Волгоградская область, Быковский район);2938
Новосибирская область;Половинное (Новосибирская область);2936
Курская область;Будановка;2936
Курская область;Беседино;2936
Кировская область;Нема;2929
Саратовская область;Первопитерский (Саратовская область);2927
Краснодарский край;Екатериновка (Краснодарский край);2926
Карачаево-Черкесская Республика;Орджоникидзевский;2926
Курская область;Гончаровка;2926
Оренбургская область;Подгородняя Покровка;2924
Алтайский край;Леньки;2924
Республика Крым;Геройское;2909
Нижегородская область;Ближне-Песочное;2905
Краснодарский край;Нововладимировская;2903
Республика Адыгея;Ходзь;2895
Ивановская область;Петровский;2894
Ленинградская область;Будогощь;2893
Свердловская область;Атиг;2892
Брянская область;Вышков (Брянская область);2891
Иркутская область;Баяндай;2888
Ульяновская область;Тушна;2884
Республика Башкортостан;Кудеевский;2881
Пермский край;Чермоз;2880
Волгоградская область;Колхозная Ахтуба (Волгоградская область);2880
Орловская область;Стрелецкий;2877
Рязанская область;Баграмово;2877
Костромская область;Поназырево;2873
Краснодарский край;Шедок;2871
Республика Коми;Шудаяг;2869
Смоленская область;Карманово;2869
Республика Крым;Новосельское;2868
Орловская область;Новосиль;2867
Ростовская область;Маркинская;2863
Ленинградская область;Дзержинского;2863
Республика Адыгея;Даховская;2859
Пермский край;Новоильинский (Пермский край);2858
Самарская область;Бобровка (Самарская область);2858
Ростовская область;Митякинская;2858
Ростовская область;Дегтево;2857
Смоленская область;Голынки;2856
Самарская область;Верхняя Подстепновка;2856
Ивановская область;Нерль;2852
Ульяновская область;Татарский Калмаюр;2850
Чеченская республика;Шатой;2849
Ульяновская область;Красносельск;2848
Новосибирская область;Безменово;2846
Красноярский край;Байкит;2845
Самарская область;Домашка;2840
Курская область;Дичня;2839
Архангельская область;Мезень;2835
Ленинградская область;Глажево;2834
Кабардино-Балкарская республика;Псыхурей;2834
Ульяновская область;Подкуровка;2834
Астраханская область;Зензели;2831
Волгоградская область;Червленое (Волгоградская область);2830
Ханты-Мансийский АО - Югра;Угут;2827
Самарская область;Просвет (Самарская область);2827
Свердловская область;Пелым;2826
Краснодарский край;Николенское;2820
Омская область;Екатеринославка (Омская область);2818
Оренбургская область;Подольск (Оренбургская область);2818
Калужская область;Пятовский;2817
Пензенская область;Золотаревка (Пензенская область);2816
Саратовская область;Куриловка;2816
Амурская область;Уруша;2815
Республика Саха (Якутия);Кысыл-Сыр;2815
Ростовская область;Быстрогорский;2815
Астраханская область;Марфино (Астраханская область);2815
Челябинская область;Есаульский;2813
Алтайский край;Новороманово;2813
Республика Башкортостан;Ильино-Поляна;2812
Ленинградская область;Ям-Тесово;2805
Забайкальский край;Могзон (Забайкальский край);2803
Томская область;Чажемто;2800
Псковская область;Кунья;2797
Белгородская область;Погореловка;2796
Приморский край;Терней;2794
Республика Северная Осетия-Алания;Тарское;2792
Иркутская область;Кимильтей;2792
Волгоградская область;Ольшанка (Волгоградская область);2784
Новгородская область;Борки;2784
Московская область;Рязановский (Московская область);2782
Республика Татарстан;Нармонка;2780
Республика Дагестан;Хив;2779
Забайкальский край;Баляга;2778
Забайкальский край;Даурия (Забайкальский край);2773
Пензенская область;Ермоловка;2769
Ленинградская область;Запорожское;2767
