Области/Регионы;ГОРОДА;Население
Республика Крым;Ялта;72269
Ленинградская область;Сертолово;72088
Краснодарский край;Южный (Краснодарский край);71724
Ленинградская область;Выборг;71279
Московская область;Егорьевск (Московская область);71169
Республика Северная Осетия-Алания;Ир;70087
Челябинская область;Троицк (Челябинская область);69845
Республика Дагестан;Буйнакск;69554
Ставропольский край;Минеральные Воды;69082
Самарская область;Чапаевск;68815
Красноярский край;Минусинск;68603
Курганская область;Шадринск;67884
Республика Башкортостан;Туймазы;67807
Еврейская АО;Биробиджан;67788
Кемеровская область;Белово;67504
Тюменская область;Ишим;67329
Московская область;Лыткарино (Московская область);66526
Чеченская республика;Гудермес;66352
Ленинградская область;Кудрово;66310
Чеченская республика;Урус-Мартан;65698
Московская область;Павловский Посад (Московская область);65297
Республика Крым;Феодосия;64912
Кировская область;Кирово-Чепецк;64571
Кемеровская область;Анжеро-Судженск;64534
Республика Алтай;Горно-Алтайск;64508
Ханты-Мансийский АО - Югра;Когалым;63963
Республика Башкортостан;Белорецк;63743
Московская область;Ступино (Московская область);63506
Ханты-Мансийский АО - Югра;Нягань;63466
Ленинградская область;Сосновый Бор (Ленинградская область);63462
Брянская область;Фокино (Брянская область);63217
Московская область;Дмитров (Московская область);63044
Республика Ингушетия;Сунжа (Ингушетия);62843
Республика Башкортостан;Ишимбай;62672
Тульская область;Донской;62255
Пермский край;Кунгур;61628
Брянская область;Клинцы;61627
Нижегородская область;Кстово;61602
Ставропольский край;Георгиевск;61543
Тульская область;Советск (Тульская область);61298
Краснодарский край;Славянск-на-Кубани;60995
Чеченская республика;Наурская;60856
Свердловская область;Березовский (Свердловская область);60451
Краснодарский край;Туапсе;60308
Самарская область;Ленинский (Самарская область);60297
Республика Татарстан;Лениногорск;60214
Амурская область;Белогорск;60152
Республика Адыгея;Яблоновский (Республика Адыгея);60034
Кабардино-Балкарская республика;Прохладный;60023
Воронежская область;Россошь;59977
Ханты-Мансийский АО - Югра;Мегион;59715
Тульская область;Алексин;59184
Свердловская область;Ревда (Свердловская область);59036
Ростовская область;Гуково;58965
Республика Башкортостан;Белебей;58818
Пензенская область;Заречный (Пензенская область);58753
Московская область;Фрязино (Московская область);58661
Саратовская область;Вольск;58548
Республика Дагестан;Избербаш;58322
Воронежская область;Борисоглебск;58074
Республика Татарстан;Чистополь;58074
Московская область;Дзержинский (Московская область);57434
Республика Башкортостан;Кумертау;57289
Чеченская республика;Шали;57060
Ростовская область;Сальск;56988
Краснодарский край;Лабинск;56874
Ростовская область;Кировская;56761
Новосибирская область;Искитим;56654
Ставропольский край;Буденновск;56488
Свердловская область;Асбест;56139
Республика Коми;Воркута;56131
Ленинградская область;Тихвин;56131
Архангельская область;Котлас;55977
Республика Башкортостан;Сибай;55881
Нижегородская область;Павлово;55872
Краснодарский край;Тихорецк;55590
Свердловская область;Краснотурьинск;55487
Московская область;Нахабино (Московская область);55448
Республика Башкортостан;Мелеуз;55174
Владимирская область;Александров;54952
Краснодарский край;Крымск;54927
Красноярский край;Лесосибирск;54818
Волгоградская область;Михайловка (Волгоградская область);54772
Кемеровская область;Кирово (Кемеровская область);54525
Краснодарский край;Белореченск;54330
Свердловская область;Полевской;53748
Ивановская область;Шуя;53312
Тверская область;Ржев;53312
